Original code-name,New human-readable name,gender,age
aaaaaall,abigail,F,65.0
aaaaaouk,owen,M,30.0
aaaaamhj,brigitte,F,55.0
aaaaalsq,paul,M,59.0
aaaaaogd,quincy,M,61.0
aaaaaoeg,clara,F,43.0
aaaaajjb,daniela,F,88.0
aaaaamzi,raymond,M,56.0
aaaaaons,sebastian,M,49.0
aaaaagvx,eva,F,57.0
aaaaadeu,fabienne,F,56.0
aaaaaosh,gisela,F,43.0
aaaaakck,timothy,M,29.0
aaaaalth,ulrich,M,38.0
aaaaamtj,heidi,F,39.0
aaaaanxz,ingrid,F,39.0
aaaaaprj,vincent,M,62.0
aaaaalaf,jasmine,F,25.0
aaaaakft,kristin,F,65.0
aaaaaozv,wayne,M,50.0
aaaaagsc,lillian,F,71.5
aaaaajqk,melanie,F,58.0
aaaaakdj,xander,M,23.0
aaaaakcy,yves,M,23.0
aaaaapcu,aaron,M,48.0
aaaaammu,nora,F,25.0
aaaaamzl,odette,F,39.0
aaaaaoda,petra,F,68.0
aaaaajzm,rosalind,F,76.0
aaaaajqb,blake,M,57.0
aaaaanzu,craig,M,53.0
aaaaakxz,sabine,F,78.0
aaaaaeab,tatiana,F,60.0
aaaaanyt,ute,F,62.0
aaaaajah,derek,M,38.5
aaaaakfq,erik,M,34.0
aaaaaiue,franz,M,50.0
aaaaacby,vera,F,79.0
aaaaahzm,wanda,F,40.0
aaaaamon,graham,M,24.0
aaaaabdo,xandra,F,75.0
aaaaajqu,yvette,F,22.0
aaaaaljj,harold,M,47.0
aaaaakxo,julian,M,32.0
aaaaaksb,anneliese,F,25.0
aaaaajys,bernadette,F,40.0
aaaaaltw,kurt,M,73.0
aaaaadsm,carla,F,34.0
aaaaaimu,dorothea,F,64.0
aaaaaohr,lukas,M,77.0
aaaaalid,miles,M,44.0
aaaaaizu,noah,M,32.0
aaaaahte,oliver,M,75.0
aaaaajuh,peter,M,47.0
aaaaalxk,elsa,F,45.0
aaaaaogk,freya,F,67.0
aaaaaiby,ralph,M,36.0
aaaaaora,greta,F,62.0
aaaaaosa,helga,F,53.0
aaaaaiae,ilse,F,51.0
aaaaamdq,simon,M,87.0
aaaaabuv,jana,F,55.0
aaaaagxr,tristan,M,30.0
aaaaamyb,karina,F,54.0
aaaaajam,leonie,F,72.0
aaaaajpf,magdalena,F,53.0
aaaaatjz,nadine,F,53.0
aaaaanvb,orla,F,27.0
aaaaakcx,patricia,F,82.0
aaaaangp,uri,M,58.0
aaaaajso,valentin,M,39.0
aaaaapkv,renate,F,43.0
aaaaaicc,walter,M,48.0
aaaaapkx,xeno,M,65.0
aaaaajfk,simone,F,49.0
aaaaaezn,yuri,M,41.0
aaaaanpr,zane,M,51.0
aaaaaike,thea,F,48.0
aaaaankf,ulla,F,51.0
aaaaahuy,andreas,M,71.0
aaaaanbp,viola,F,49.0
aaaaapnl,bruno,M,55.0
aaaaanoz,christian,M,39.0
aaaaansj,winona,F,81.0
aaaaamnq,dominic,M,60.0
aaaaakcv,urmom,F,19.0
aaaaapar,emil,M,56.0
aaaaalqs,frederick,M,32.0
aaaaanwc,gregor,M,26.0
aaaaalox,yara,F,18.0
aaaaaktz,astrid,F,39.0
aaaaampz,heinrich,M,49.0
aaaaaloy,bettina,F,46.0
aaaaaluz,cecilia,F,32.0
aaaaalvw,ivo,M,34.0
aaaaanum,denise,F,39.0
aaaaapcr,elisa,F,63.0
aaaaapmb,florence,F,81.0
aaaaamyy,gabriella,F,43.0
aaaaapxk,johann,M,59.0
aaaaalqa,hedwig,F,25.0
aaaaadjk,ivana,F,47.0
aaaaakev,konrad,M,53.0
aaaaaelb,leonard,M,63.0
aaaaaomy,jocelyn,F,16.0
aaaaapex,katja,F,86.0
aaaaaobl,manuel,M,47.0
aaaaaiyu,niklas,M,34.0
aaaaabsk,lisbeth,F,60.0
aaaaamzf,miranda,F,81.0
aaaaanvg,noelle,F,83.0
aaaaaguk,otto,M,30.0
aaaaaoby,philipp,M,26.0
aaaaakmg,rudolf,M,65.0
aaaaallc,oona,F,48.0
aaaaapre,stefan,M,54.0
aaaaalco,tobias,M,39.0
aaaaapks,philippa,F,65.0
aaaaajoo,ulrik,M,43.0
aaaaankc,viktor,M,62.0
aaaaanlp,rita,F,54.0
